1,"chuo","2014/4",10377297,628
2,"masuo","2014/4",8682423,661
3,"seibu","2014/4",4157371,584
4,"chuo","2014/5",10220462,642
5,"masuo","2014/5",9007470,723
6,"seibu","2014/5",4292582,597
7,"masuo","2014/6",9244411,735
8,"chuo","2014/6",10669704,681
9,"seibu","2014/6",4270086,617
